sub_ID,test_age,condition,order,trial_type,correct
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
071615_02,4.646132786,C,GQ-DCCS-SI,implicature,0
071615_02,4.646132786,C,GQ-DCCS-SI,control_all,1
071615_02,4.646132786,C,GQ-DCCS-SI,control_none,1
